 you have NEW start conditions
 Phases of horizontal layers:
           1           1
           2           3
 # of markers      270000
        min.angle=43.96 j=  2 i=400 dt(yr)= 0.53
        min.angle=43.12 j= 30 i= 16 dt(yr)= 0.53
        min.angle=41.84 j= 31 i= 16 dt(yr)= 0.53
        min.angle=41.00 j= 31 i= 16 dt(yr)= 0.53
        min.angle=39.74 j= 11 i=  2 dt(yr)= 0.53
        min.angle=38.41 j= 11 i=  2 dt(yr)= 0.53
        min.angle=37.11 j= 11 i=  2 dt(yr)= 0.52
        min.angle=35.84 j= 11 i=  2 dt(yr)= 0.51
        min.angle=34.63 j= 11 i=  2 dt(yr)= 0.50
        min.angle=33.50 j= 11 i=  2 dt(yr)= 0.49
        min.angle=32.37 j= 10 i=  1 dt(yr)= 0.48
        min.angle=31.17 j= 10 i=  1 dt(yr)= 0.48
        min.angle=30.12 j= 10 i=  1 dt(yr)= 0.47
        min.angle=29.25 j= 10 i=  1 dt(yr)= 0.47
        min.angle=28.58 j= 10 i=  1 dt(yr)= 0.46
        min.angle=28.06 j= 10 i=  1 dt(yr)= 0.46
        min.angle=27.66 j= 10 i=  1 dt(yr)= 0.46
        min.angle=27.37 j= 10 i=  1 dt(yr)= 0.46
        min.angle=27.17 j= 10 i=  1 dt(yr)= 0.46
        min.angle=27.03 j= 10 i=  1 dt(yr)= 0.45
 Remeshing due to shortening required:    200.00087822600815     
        min.angle=33.14 j=  1 i=395 dt(yr)= 0.47
        min.angle=32.58 j=  1 i=395 dt(yr)= 0.47
        min.angle=32.32 j=  1 i=395 dt(yr)= 0.46
        min.angle=32.02 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.84 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
        min.angle=31.85 j=  1 i=395 dt(yr)= 0.46
 Remeshing due to shortening required:    200.03257545282193     
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.31 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.31 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.31 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.31 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.31 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.31 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=396 dt(yr)= 0.46
 Remeshing due to shortening required:    200.01155957380908     
        min.angle=32.32 j=  1 i=397 dt(yr)= 0.46
